"Item","Description","Ignore"
"MTS","",""
"N2O","","1"
"NA","Not Applicable",""
"NEO","","1"
"NFAD","Negative Feedback Avalanche Diode",""
"NI","",""
"NO","","1"
"NO2","","1"
"NPL","National Physics Laboratory",""
"NTT","","1"
"OB","OB","1"
"OD","Outside diameter",""
"ODRIVETOOL","","1"
"ODRV","","1"
"OE","Output Enable","1"
"OF","","1"
"OFF","","1"
"OK","","1"
"OL","","1"
"ON","",""
"OR","","1"
"OSCOPE","Oscilliscope","1"
"OSP","",""
"OTG","On the Go",""
"OTS","","1"
"P","Pressure","1"
"P2506","","1"
"PAN","","1"
"PASS","PASS","1"
"PC","Personal Computer","0"
"PC4","","1"
"PC5","","1"
"PCA","Physical Configuration Audit",""
"PCA9306","","1"
"PCA9306DCTR","","1"
"PCB","Printed Circuit Board",""
"PCBA","PCB Assembly",""
"PCI","","1"
"PD","Photodiode",""
"PDR","Power Down Reset",""
"PEC","Printed Electronic Circuit",""
"PFET","P Type FET",""
"PGOOD","","1"
"PHY","","1"
"PID","Product ID",""
"PIN","","1"
"POR","Power On Reset",""
"PPLN","Periodically Poled Lithium Niobate",""
"PRMP","Project Risk Management Plan",""
"PRR","Production Readiness Review",""
"PS","","1"
"PSU","Power Supply Unit",""
"PT1000","","1"
"PTH","Pin Through Hole",""
"PWR","Power",""
"QL355P","","1"
"QLM","","1"
"QR","Quick Response",""
"QTY","Quantity",""
"R1","","1"
"R118","","1"
"R121","","1"
"R163","","1"
"R211","","1"
"R39","","1"
"R41","","1"
"RAB","","1"
"RAM","Random Access Memory",""
"RDTC","",""
"RESET","","1"
"RF","Radio Frequency",""
"RFP","Request for Proposal",""
"RGB","Red Green Blue",""
"RGMII","Reduced Gigabit Media-independent-interface",""
"RH","Relative Humidity",""
"RHS","Relative Humidity Sensor",""
"RJ45","RJ45","1"
"RLS","","1"
"RMF","","1"
"RMII","Reduced Media-Independent-Interface",""
"RMS","Root Mean Square",""
"RNA","Ribonucleic acid",""
"ROM","Read Only memory",""
"RPM","Revolutions Per Minute",""
"RS232","",""
"RS485","","1"
"RTC","Real Time Clock",""
"RTK","Real-Time Kinematic",""
"RVM","Requirement Verification Matrix",""
"S1","","1"
"S2","","1"
"S4","","1"
"SAES","",""
"SAM","","1"
"SATA","",""
"SAW","",""
"SCH","Schematic",""
"SCLK","SPI CLk","1"
"SD","Secure Digital",""
"SDRAM","",""
"SEARCHING","","1"
"SEMP","System Engineering Management Plan",""
"SENSORS","","1"
"SEPIC","Single-Ended Primary-Inductor Converter",""
"SIL","System Integration Laboratory",""
"SIMBA","","1"
"SMD","Surface mount device",""
"SMPS","Switched Mode Power SUpply",""
"SN1","","1"
"SN2","","1"
"SNR","Signal to noise",""
"SOM","System on Module",""
"SP1","","1"
"SP2","","1"
"SPAD","Single Photon Avalanche Diode",""
"SPARE","","1"
"SPC","",""
"SPI","Serial Peripheral Interface",""
"SPICE","Simulation Program with Integrated Circuit Emphasis",""
"SQL","","1"
"SSD","Solid State Relay",""
"SSDD","System/ Subsystem Design Description",""
"SSH","Secure Shell",""
"SSPP","System Safetey Program Plan",""
"ST","",""
"STEP","STEP","1"
"STL","STL","1"
"STM","ST Microelectronics",""
"STM32","","1"
"STM32IDE","","1"
"STM32L476","","1"
"STM8","","1"
"SW1","","1"
"SW2","","1"
"SWD","Single Wire Debug",""
"SWV","Square Wave Voltammetry",""
"T","T","1"
"TACH","","1"
"TAOS","Manufacturer","1"
"TBD","","1"
"TCA9548A","","1"
"TCS3200","","1"
"TE","",""
"TE0720","",""
"TE0745","",""
"TE0820","",""
"TEC","Thermo-electric Cooler",""
"TEST","TEST","1"
"TFN","","1"
"TI","",""
"TLA","",""
"TP","Test Point",""
"TP10","","1"
"TP107","","1"
"TP11","","1"
"TP112","","1"
"TP113","","1"
"TP114","","1"
"TP115","","1"
"TP117","","1"
"TP118","","1"
"TP119","","1"
"TP12","","1"
"TP120","","1"
"TP121","","1"
"TP122","","1"
"TP123","","1"
"TP124","","1"
"TP126","","1"
"TP127","","1"
"TP128","","1"
"TP129","","1"
"TP13","","1"
"TP132","","1"
"TP133","","1"
"TP134","","1"
"TP135","","1"
"TP137","","1"
"TP138","","1"
"TP139","","1"
"TP14","","1"
"TP140","","1"
"TP141","","1"
"TP142","","1"
"TP145","","1"
"TP146","","1"
"TP149","","1"
"TP150","","1"
"TP151","","1"
"TP16","","1"
"TP48","","1"
"TP49","","1"
"TP52","","1"
"TP7","","1"
"TP8","","1"
"TP88","","1"
"TP89","","1"
"TP9","","1"
"TP97","","1"
"TPH","Through Pin Hole",""
"TPS27081A","","1"
"TRENZ","","1"
"TRR","Test Readiness Review",""
"TS15","","1"
"TX","Transmit",""
"TXB0102","","1"
"TXB0102DCUT","","1"
"TXB0104","","1"
"TXB0104DR","","1"
"TXB0108","","1"
"TXB0108PWR","","1"
"U17","","1"
"U29","","1"
"U4","","1"
"UART","Universal Asynchronous Receiver-Transmitter",""
"UART2","","1"
"UE","","1"
"UI","User Interface",""
"UK","United Kingdom","1"
"UPS","Uninterruptible Power Supply",""
"US","United States","1"
"USB","Universal Serial Bus",""
"USER","","1"
"UUT","Unit Under Test",""
"UWB","Ultra-wide band",""
"UX250","",""
"V","","1"
"VALVE","","1"
"VBAT","","1"
"VBOR","",""
"VBUS","VBUS","1"
"VBUS1","","1"
"VBUS2","","1"
"VCC","","1"
"VCCA","","1"
"VCP","Virtual Com Port",""
"VDDIO","","1"
"VID","Vendor ID",""
"VPVD","",""
"VRP","Voltage Retarder Plate",""
"VSYS","","1"
"VTT","","1"
"VVT","Validation, Verification and Test",""
"W","",""
"WE","","1"
"WEEE","",""
"WIFI","Wireless Fidelity",""
"WP1","","1"
"WP3","Work Package",""
"X","","1"
"XS","","1"
"Y","","1"
"YES","","1"
"Z","","1"
